;p00;p01
712;11050;Аппаратчик утилизации конфискатов
713;11052;Аппаратчик фенилирования
714;11055;Аппаратчик ферментации затора
715;11056;Аппаратчик ферментации препаратов биосинтеза
716;11057;Аппаратчик ферментации эфиромасличного сырья
717;11059;Аппаратчик фиксации
718;11061;Аппаратчик фильтрации
719;11063;Аппаратчик-фирнисовар
720;11065;Аппаратчик формования синтетического каучука
721;11067;Аппаратчик формования химического волокна
722;11068;Аппаратчик формования целлофановой пленки
723;11070;Аппаратчик форполимеризации
724;11074;Аппаратчик фотохимического синтеза
725;11076;Аппаратчик хемосорбции
726;11078;Аппаратчик химводоочистки
727;11079;Аппаратчик химводоочистки электростанции
728;11081;Аппаратчик химической обработки технического сырья
729;11085;Аппаратчик химической чистки
730;11088;Аппаратчик хлорирования и станнирования
731;11090;Аппаратчик центрифугирования
732;11094;Аппаратчик циклизации
733;11095;Аппаратчик чешуирования
734;11097;Аппаратчик чистки ковровых изделий
735;11099;Аппаратчик чистки пухоперовых изделий
736;11100;Аппаратчик шаровых мельниц
737;11102;Аппаратчик экстрагирования
738;11104;Аппаратчик экстрагирования таннидов
739;11106;Аппаратчик-экстракторщик
740;11108;Аппаратчик электролиза
741;11110;Аппаратчик электролитического обезжиривания
742;11112;Аппаратчик электрохимического производства тантала
743;11116;Аппаратчик этерифакации
744;11117;Аппаратчик этиленгликолевой установки
745;11119;Аппретурщик
746;20089;Арбитр
747;11125;Арматурщик язычковых инструментов
748;11127;Армировщик
749;11129;Армировщик кабельных изделий
750;11132;Армировщик электрокерамических изделий
751;11134;Ароматизаторщик
752;20095;Артист
753;20098;Артист ансамбля песни и танца
754;20101;Артист балета
755;20103;Артист-буффонадный клоун
756;20104;Артист, ведущий концерт
757;20105;Артист-воздушный гимнаст
758;20113;Артист вокально-инструментального ансамбля
759;20119;Артист вспомогательного состава
760;20135;Артист камерно-инструментального и вокального ансамбля
761;20139;Артист коверный
762;20140;Артист-конферансье
763;20145;Артист-музыкальный эксцентрик
764;20147;Артист оркестра
765;20156;Артист разговорного жанра
766;20158;Артист-сатирик
767;20162;Артист-солист-инструменталист
768;20168;Артист хора
769;20171;Артист цирка
770;20173;Артист эстрадного оркестра и ансамбля
771;20174;Артист эстрадно-инструментального ансамбля
772;20187;Археолог
773;20190;Архивариус
774;20196;Архитектор
775;20199;Ассистент
776;20200;Ассистент балетмейстера
777;20201;Ассистент дирижера
778;20202;Ассистент звукооператора
779;20205;Ассистент звукооформителя
780;20212;Ассистент кинооператора
781;20215;Ассистент кинорежиссера
782;20222;Ассистент оператора тележурналистского комплекта
783;20223;Ассистент режиссера
784;20225;Ассистент режиссера радиовещания
785;20226;Ассистент режиссера телевидения
786;20227;Ассистент телеоператора
787;20229;Ассистент хормейстера
788;20230;Ассистент художника-мультипликатора
789;20236;Ассистент художника-постановщика
790;11138;Асфальтировщик труб
791;11140;Асфальтобетонщик
792;20239;Атташе
793;20241;Аудитор
794;20243;Аудитор счетной палаты РФ
795;20244;Аукционист
796;11143;Аэрографист
797;11144;Аэрографист
798;11147;Аэрографщик
799;11151;Аэрозольщик
800;20304;Багермейстер-капитан
801;20306;Багермейстер-наставник
802;11157;Бакелизаторщик
803;20307;Бактериолог
804;11163;Балансировщик-заливщик абразивных кругов
805;11166;Балансировщик шин
806;20310;Балетмейстер
807;20312;Балетмейстер-постановщик
808;11170;Бандажник
809;11174;Барильетчик
810;11176;Бармен
811;11178;Бассейнщик
812;11188;Беконщик
813;20313;Библиограф
814;20316;Библиотекарь
815;20321;Биолог
816;20324;Биофизик
817;11200;Битумщик
818;11202;Бланшировщик
819;11204;Блокировщик стеклоизделий
820;11206;Боец скота
821;11208;Бондарь
822;11212;Бортмеханик
823;11213;Бортоператор по проверке магистральных трубопроводов
824;11217;Бортпроводник
825;11218;Бортрадист
826;11219;Бортштурман
827;11220;Боцман
828;11221;Боцман береговой
829;11222;Бригадир бункеров
830;11223;Бригадир бурильного отделения
831;11224;Бригадир двора изложниц
832;11225;Бригадир заготовительного отделения
833;11226;Бригадир изыскательской русловой партии
834;11228;Бригадир колодцев замедленного охлаждения металла
835;11230;Бригадир молотового отделения
836;11231;Бригадир муфтосварочного отделения
837;11233;Бригадир на отделке, сортировке, приемке, сдаче, пакетировке и упаковке металла и готовой продукции
838;11235;Бригадир-настройщик трубоэлектросварочных станов
839;11237;Бригадир на участках основного производства
840;11246;Бригадир отделения калибровки, волочения и шлифовки металла
841;11250;Бригадир подготовительного отделения
842;11251;Бригадир по перемещению сырья, полуфабрикатов и готовой продукции в процессе производства
843;11253;Бригадир поста судоходной обстановки
844;11242;Бригадир предприятий железнодорожного транспорта и метрополитенов
845;11257;Бригадир разработки шлакового отвала
846;11259;Бригадир рудного двора
847;11265;Бригадир участка прессов-расширителей
848;11267;Бригадир участка приготовления формовочной смеси
849;11269;Бригадир участка станов холодной прокатки труб
850;11270;Бригадир шихтового двора в сталеплавильном и ферросплавном производствах
851;11274;Брикетировщик формовочной массы
852;11276;Бронеобмотчик проводов
853;11278;Бронзировщик
854;11280;Бронзировщик рам клавишных инструментов
855;11282;Бронировщик кабелей
856;11284;Брошюровщик
857;11286;Брынзодел
858;47110;Техник службы пути
859;11290;Бункеровщик доменных печей
860;11292;Бурильщик капитального ремонта скважин
861;11295;Бурильщик шпуров
862;11298;Буртоукладчик
863;20336;Бухгалтер
864;20342;Бухгалтер-эксперт
865;11305;Вагонетчик
866;11307;Вагонетчик воздушно-канатной дороги
867;11308;Вагранщик
868;11309;Вагранщик
869;11311;Вакуум-прессовщик керамической массы и заготовок
870;11313;Вакуумщик
871;11315;Вакуумщик термосных колб
872;11317;Вальцовщик
873;11319;Вальцовщик
874;11320;Вальцовщик гидроизоляционных материалов
875;11324;Вальцовщик игольчатых роликов и шариков
876;11331;Вальцовщик косметической массы
877;11333;Вальцовщик массы на вулканитовой связке
878;11335;Вальцовщик обкатной машины
879;11337;Вальцовщик по сборке и перевалке клетей
880;11340;Вальцовщик профилегибочного агрегата
881;11342;Вальцовщик резиновых смесей
882;11344;Вальцовщик стана горячего проката труб
883;11347;Вальцовщик стана печной сварки труб
884;11349;Вальцовщик стана холодного проката труб
885;11350;Вальцовщик стана холодной прокатки
886;11352;Вальцовщик сырья и полуфабрикатов
887;11357;Вальцовщик холодного металла
888;11359;Вальщик леса
889;11361;Валяльщик
890;11365;Варщик
891;11366;Варщик аппрета
892;11368;Варщик асфальтовой массы
893;11370;Варщик битума
894;11372;Варщик волокнистого сырья
895;11373;Варщик восковой, клеевой массы и пропиточной смеси
896;11379;Варщик жидкого стекла
897;11381;Варщик кабельной массы
898;11382;Варщик косметической массы
899;11384;Варщик литейных смазок
900;11386;Варщик пека
901;11388;Варщик пищевого сырья и продуктов
902;11390;Варщик селена
903;11395;Варщик суспензий
904;11397;Варщик торфомассы
905;11404;Варщик целлюлозы
906;11406;Варщик шубного лоскута
907;11407;Варщик щетины и волоса
908;11410;Варщик электроизоляционных лаков, смол и мастик
909;11412;Ватинщик
910;11414;Вафельщик
911;20387;Ведущий дискотеки
912;20390;Ведущий инженер по летным испытаниям воздушных судов
913;20396;Ведущий инженер по экспериментальным работам и летным испытаниям систем воздушных судов
914;20400;Ведущий инженер по эксплуатации воздушных судов
915;20402;Ведущий инспектор в аппарате счетной палаты РФ
916;20290;Ведущий научный сотрудник
917;20404;Ведущий программы
918;11416;Велюрщик
919;11420;Верховой доменной печи
920;11422;Весовщик
921;20425;Ветеринарный врач
922;11425;Веяльщик чая
923;11427;Вздымщик
924;11429;Взрывник
925;11431;Взрывник на лесных работах
926;11433;Виварщик
927;11438;Винипластчик
928;11440;Витражист
929;11442;Водитель автомобиля
930;11447;Водитель вездехода
931;11448;Водитель дрезины
932;11449;Водитель-испытатель
933;11451;Водитель мототранспортных средств
934;11453;Водитель погрузчика
935;11457;Водитель трамвая
936;11460;Водитель транспортно-уборочной машины
937;20430;Водолазный специалист
938;20431;Водолазный специалист подводного аппарата
939;11467;Водопроводчик доменной печи
940;11469;Водопроводчик шахтной печи
941;11472;Водораздатчик порта
942;11474;Водородчик
943;11476;Возчик
944;11482;Волочильщик
945;11484;Волочильщик материала для спиралей
946;11486;Волочильщик проволоки
947;11490;Воронильщик
948;20436;Воспитатель
949;20439;Воспитатель общежития
950;20442;Воспитатель профессионально-технического учебного заведения
951;20448;Врач
952;20314;Врач-акушер-гинеколог
953;20315;Врач-аллерголог
954;20317;Врач-анестезиолог-реаниматолог
955;20320;Врач-бактериолог
956;20326;Врач-вирусолог
957;20329;Врач-гастроэнтеролог
958;20335;Врач-дезинфекционист
